name,addr,city,type,id
locanda veneta,3rd st.,los angeles,italian,0
locanda veneta,8638 w. third st.,los angeles,italian,1
locanda veneta,8638 w 3rd,st los angeles,italian,2
cafe lalo,201 w. 83rd st.,new york,coffee bar,3
cafe lalo,201 w. 83rd st.,new york city,coffeehouses,4
les celebrites,160 central park s,new york,french,5
les celebrites,155 w. 58th st.,new york city,french (classic),6
second avenue deli,156 2nd ave. at 10th st.,new york,delicatessen,7
second avenue deli,156 second ave.,new york city,delis,8
smith wollensky,201 e. 49th st.,new york,american,9
smith wollensky,797 third ave.,new york city,steakhouses,10
chin,3200 las vegas blvd. s,las vegas,asian,11
chin,3200 las vegas blvd. s.,las vegas,chinese,12
toulouse,b peachtree rd.,atlanta,french,13
toulouse,293-b peachtree rd.,atlanta,french (new),14
rose pistola,532 columbus ave.,san francisco,italian,15
rose pistola,532 columbus ave.,san francisco,italian,16
bistro garden,176 n. canon dr.,los angeles,californian,17
remi,3rd st. promenade,santa monica,italian,18
remi,145 w. 53rd st.,new york,italian,19
west,63rd street steakhouse 44 w. 63rd st.,new york,american,20
bistro,3400 las vegas blvd. s,las vegas,continental,21
mikado,3400 las vegas blvd. s,las vegas,asian,22
osteria del forno,519 columbus ave.,san francisco,italian,23
stars,150 redwood alley,san francisco,american,24
stars cafe,500 van ness ave.,san francisco,american,25
belvedere,9882 little santa monica blvd.,beverly hills,pacific new wave,26
bernard,515 s. olive st.,los angeles,continental,27
bistro 45,45 s. mentor ave.,pasadena,californian,28
cafe 50s,838 lincoln blvd.,venice,american,29
cafe blanc,9777 little santa monica blvd.,beverly hills,pacific new wave,30
cachette,10506 little santa monica blvd.,century city,french (new),31
moongate,3400 las vegas blvd. s.,las vegas,chinese,32
